mean,std,rms,peak_to_peak,crest_factor,kurtosis,skewness,bearing,batch,speed,force,fault
-0.0015460761499999998,0.04018697750872667,0.040216706885926184,0.34594,4.553580195400987,0.9158945499416298,0.003031695706718984,NU204_E_metal_b,1,1000,1,OK
-0.0018664082500000005,0.03902621434426435,0.03907081885243938,0.24594,3.4793230342422836,-0.06562096591158006,-0.09996761318637942,NU204_E_metal_b,1,1000,1,OK
-0.002047823500000001,0.04413084411445608,0.04417833160432357,0.49202999999999997,6.3273100148635635,4.008743227564604,-0.22613708837520166,NU204_E_metal_b,1,1000,1,OK
-0.0019096762,0.04339850579602463,0.04344050147634613,0.35328,4.154417970940507,1.0990993596068996,-0.026825557301314067,NU204_E_metal_b,1,1000,1,OK
-0.0019169994500000001,0.048390328744301145,0.04842828515312964,0.83344,10.08253747693243,16.137308247484295,-0.78795250899885,NU204_E_metal_b,1,1000,1,OK
-0.0017328211499999997,0.042269246802412216,0.042304750257874384,0.33094,4.214183960743649,0.8628617404338614,0.008167683027852566,NU204_E_metal_b,1,1000,1,OK
-0.0018521846,0.039348614579000143,0.03939218268995995,0.32875,4.264043993754406,0.8008744077523962,-0.05637623723318437,NU204_E_metal_b,1,1000,1,OK
-0.0015575210500000003,0.049890448398305004,0.04991475446403726,0.6875,8.326796444515308,7.670172170343378,-0.6666899534203373,NU204_E_metal_b,1,1000,1,OK
-0.0021492260500000004,0.038997230991216915,0.03905641045457618,0.27327999999999997,3.6045299186859863,0.33186888080022303,-0.08540804986660672,NU204_E_metal_b,1,1000,1,OK
-0.0020474826,0.049728954453442636,0.049771086948447035,0.67031,9.349002172324843,9.20659420728286,-0.8620194974758695,NU204_E_metal_b,1,1000,1,OK
-0.0016929631999999997,0.03920384239336332,0.039240379493580654,0.38983999999999996,5.952796660343538,1.5344491944981247,0.11896862721716331,NU204_E_metal_b,1,1000,1,OK
-0.00204003775,0.04628748365210657,0.04633241734321076,0.43421,4.987652560585906,2.0657330860708853,-0.22225245399012622,NU204_E_metal_b,1,1000,1,OK
-0.0015631046999999999,0.04838819903183981,0.04841343926894789,0.73376,7.784615298788093,6.841214596581995,-0.05520139536003136,NU204_E_metal_b,1,1000,1,OK
-0.0021153332500000004,0.04389453547370369,0.043945476208715584,0.45297000000000004,5.79559085422968,1.710026617093786,-0.13693512351118448,NU204_E_metal_b,1,1000,1,OK
-0.0018940577999999996,0.054786392266528594,0.05481912287269548,0.6475,6.997375731289928,3.9623696066831755,-0.23758877453585156,NU204_E_metal_b,1,1000,1,OK
-0.0021826028,0.04648395139007555,0.046535164035570724,0.33406,3.8377429993260304,0.4182698795523341,-0.12370374252491494,NU204_E_metal_b,2,1000,1,OK
-0.0012735923500000002,0.03802732253935726,0.03804864382584861,0.27344,3.9094691700665987,0.22996872866896512,0.03576633004511063,NU204_E_metal_b,2,1000,1,OK
-0.002202807500000001,0.053069743154130475,0.05311544031002129,0.53984,5.998067570191856,4.022243178354089,-0.48693453261486586,NU204_E_metal_b,2,1000,1,OK
-0.00175483685,0.04006886145712384,0.04010727004970922,0.24953,3.1906933541323834,0.4568511352344182,0.02743234807362785,NU204_E_metal_b,2,1000,1,OK
-0.0017854650500000004,0.04804813104939864,0.04808129348078063,0.5675,6.88604602811581,5.2034749748187625,-0.2570143459546716,NU204_E_metal_b,2,1000,1,OK
-0.0017122073499999998,0.04117391925021018,0.041209504734129265,0.36843,4.8190338923323655,1.32216084028238,0.07305573331374554,NU204_E_metal_b,2,1000,1,OK
-0.0019937666999999995,0.050355943579059426,0.050395398196575895,0.5339,5.9745534468354995,2.070985198722232,-0.24391315307451356,NU204_E_metal_b,2,1000,1,OK
-0.0019764333500000004,0.04537408641438344,0.04541711138686528,0.38859,4.510194368267114,0.9896010273704126,-0.06682865272507094,NU204_E_metal_b,2,1000,1,OK
