mean,std,variance,rms,peak,peak_to_peak,crest_factor,kurtosis,skewness,data_no,fault,bearing,speed,force
-0.0018703393087999998,0.04514688053532883,0.0020382408220712533,0.045185606017860334,0.48828,0.8451599999999999,10.806096078627329,5.104373629363105,-0.2614092248947265,1,OK,NU204_E_metal_b,1000,1
-0.0018640514528,0.04442306723650976,0.001973408902699467,0.04446215908520585,0.47125,0.77172,10.598900496417901,5.295365300123988,-0.3492783917699655,2,OK,NU204_E_metal_b,1000,1
-0.0018840632415999998,0.04507060192520211,0.002031359157900032,0.04510996400129776,0.475,0.80984,10.529824408335479,4.992349505190856,-0.29118654830271945,3,OK,NU204_E_metal_b,1000,1
-0.0018966660032,0.045690128505723675,0.002087587842869543,0.04572947829133017,0.46031,0.8285899999999999,10.065935960771062,4.561456774272489,-0.2654185855843808,4,OK,NU204_E_metal_b,1000,1
-0.0018455689727999997,0.04519681128271369,0.002042751750125235,0.045234476618599195,0.61563,1.03454,13.609751809239892,7.046738921918575,-0.2925913400004294,5,OK,NU204_E_metal_b,1000,1
-0.0023500752095999998,0.18750868167205295,0.035159505702391285,0.18752340802119094,5.12,7.2489,27.303258052036995,172.20842405817427,-7.250678343256768,6,IR,NU204_E_metal_b,1000,1
-0.0017818769887999997,0.15728354969655992,0.02473811500515023,0.1572936428809297,3.4352,5.2163,21.839407728641802,101.1775515689877,-4.576176044926241,7,IR,NU204_E_metal_b,1000,1
-0.0022262122752,0.14154581212909872,0.02003521693128611,0.14156331782061465,2.978,4.4439,21.03652306152957,93.30821507543006,-4.377411690169663,8,IR,NU204_E_metal_b,1000,1
-0.0023177753376000003,0.14356608648915276,0.02061122118981089,0.14358479471144037,2.4389,3.9362,16.985781850379148,58.176704519803465,-2.991435092947433,9,IR,NU204_E_metal_b,1000,1
-0.0021330991296000003,0.1534553559526455,0.023548546270553132,0.1534701807598135,2.6728,4.2258,17.41576107337119,60.86619425820757,-3.1985965931382743,10,IR,NU204_E_metal_b,1000,1
-0.0017921136352000001,0.0446556604011792,0.001994128005865444,0.04469160633885197,0.20703,0.39203,4.632413487899664,0.2536981218666958,-0.014943706594945467,11,RE,NU204_E_metal_b,1000,1
-0.0018050967264,0.04647860975945213,0.0021602611651714387,0.04651364895773173,0.23734,0.4475,5.102588279317272,0.36507266310440123,0.00106227841704873,12,RE,NU204_E_metal_b,1000,1
-0.001814600496,0.04557808602461234,0.0020773619256669626,0.04561419406968675,0.33031,0.63672,7.241386299522716,1.1403699201491078,0.05559689404115541,13,RE,NU204_E_metal_b,1000,1
